p_id,long,lat,end_datetime,age,gender,education,race,income,storm_system,storm_rec_warn,rec_subscribe,wthr_info_web,wthr_info_govweb,wthr_info_loctv,wthr_info_cabtv,wthr_info_radio,wthr_info_fam,wthr_info_soc,wthr_info_phone
Nm-W100208,-97.870261,36.484963,1466007837,50,1,4,1,1.60E+05,2,1,Strongly agree,About once a day,About once a day,Several times a day,About once a day,About once a day,Several times per week,Several times a day,Several times a day
Nm-W100227,-97.835552,36.383864,1465397684,58,1,4,6,4.50E+04,2,0,Strongly agree,Less than once per week,Several times per week,Several times a day,Less than once per week,Less than once per week,Less than once per week,Never,About once a day
Nm-W100344,-97.9401,36.39342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W100639,-97.935959,35.846363,1465866925,52,0,6,1,4.00E+04,1,NA,Strongly disagree,About once per week,Several times a day,About once a day,Never,About once a day,Several times a day,Never,Never
Nm-W100663,-98.11986,35.97324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W100670,-97.737447,36.80303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W100680,-98.178858,36.38812,1465325376,58,1,6,1,1.30E+05,0,NA,Disagree,Never,Less than once per week,About once a day,Never,Several times a day,Never,Never,Never
Nm-W101057,-96.27786,36.21947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W101178,-96.925508,36.203511,1465531274,40,0,4,1,5.50E+04,2,NA,Agree,NA,NA,About once a day,NA,About once a day,NA,NA,About once per week
Nm-W101198,-96.494526,36.09998,1465398367,44,0,4,1,3.30E+04,1,2,Strongly agree,About once per week,About once per week,Several times a day,Never,Several times a day,About once a day,Never,Never
Nm-W101274,-97.2002,36.08652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W101303,-97.069713,36.169091,1465324030,59,0,6,1,4.00E+04,0,NA,Agree,Several times a day,Several times a day,Several times per week,Less than once per week,Less than once per week,Several times a day,Several times a day,Several times a day
Nm-W101304,-97.135377,36.100801,1465341478,54,0,4,1,1.80E+04,2,1,Agree,About once a day,About once a day,Several times a day,Never,Never,Several times per week,Less than once per week,Several times per week
Nm-W101412,-96.974584,36.116409,1466099263,66,1,6,1,5.00E+04,2,NA,Strongly disagree,About once a day,Never,About once a day,About once a day,Several times a day,About once a day,Never,Never
Nm-W101497,-97.112356,36.105383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W101594,-97.04883,36.13171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W101857,-96.923742,36.674317,1465385635,66,0,6,1,2.50E+04,2,NA,Agree,NA,Never,Several times a day,Never,Several times a day,About once a day,Never,About once a day
Nm-W101975,-97.175226,36.456721,1465324971,46,0,4,1,1.10E+05,0,NA,Somewhat agree,Several times per week,Never,Less than once per week,Never,Several times per week,Less than once per week,Several times per week,About once a day
Nm-W102174,-95.808715,36.063209,1467508542,46,1,4,1,NA,1,2,Disagree,About once per week,Less than once per week,About once per week,Never,Less than once per week,Less than once per week,Never,Never
Nm-W102205,-95.794068,36.04571,1467972638,61,1,6,1,NA,1,NA,Strongly agree,Several times per week,Less than once per week,About once a day,Several times per week,About once a day,Several times a day,About once a day,About once a day
Nm-W102250,-95.822975,36.089982,1465826338,43,0,6,2,7.00E+04,1,NA,Somewhat agree,Less than once per week,Never,About once a day,Less than once per week,Several times a day,Several times per week,Never,Several times a day
Nm-W102266,-95.751355,36.042371,1465342656,46,1,4,6,7.00E+04,1,1,Agree,Less than once per week,Less than once per week,About once a day,Never,Several times a day,Less than once per week,About once a day,About once per week
Nm-W102281,-95.697967,36.064416,1466099603,39,1,5,1,1.80E+05,1,NA,Agree,Several times a day,Never,Several times a day,Never,About once a day,About once a day,Never,Several times a day
Nm-W102301,-95.755059,36.194111,1465332839,50,0,5,1,5.60E+04,1,0,Strongly agree,Never,Never,Several times a day,Never,About once per week,About once a day,Several times a day,Several times a day
Nm-W102321,-95.418572,36.538229,1465785708,25,1,2,1,12480,1,NA,Strongly agree,About once a day,About once per week,About once per week,Never,Never,Several times a day,Less than once per week,Several times a day
Nm-W102346,-95.633541,36.314703,1465516556,74,1,6,1,6.50E+04,1,2,Strongly disagree,Several times a day,Never,About once a day,About once a day,Never,Never,Never,Never
Nm-W102350,-95.623841,36.312678,1466485830,54,0,4,1,1.60E+04,1,NA,Strongly agree,Never,Less than once per week,Several times a day,Never,Never,Never,About once a day,Never
Nm-W102452,-96.017055,35.951548,1465384869,65,1,7,7,8.00E+04,1,NA,Neither agree nor disagree,About once a day,Several times a day,About once a day,Never,About once a day,Several times a day,Never,Several times per week
Nm-W102467,-96.016895,36.008853,1465356844,82,1,6,1,NA,1,NA,Strongly agree,Several times a day,Less than once per week,Several times a day,Never,Never,Less than once per week,Never,Several times a day
Nm-W102541,-95.858192,36.278028,1465360479,47,1,1,1,3.10E+04,1,NA,Strongly agree,Less than once per week,Never,About once a day,Several times per week,Never,Several times per week,Never,Several times a day
Nm-W102613,-96.12286,36.100687,1465519816,58,1,6,1,7.00E+04,1,1,Somewhat agree,Less than once per week,Never,Several times per week,Less than once per week,About once a day,About once a day,Never,Several times a day
Nm-W102619,-96.127555,36.087641,1465362257,44,0,7,1,6.40E+04,1,2,Agree,Never,Never,Never,Never,About once a day,Several times a day,About once a day,Several times per week
Nm-W102639,-96.197646,36.218195,1465574001,50,0,3,1,7.50E+04,2,1,Agree,NA,NA,Several times a day,NA,Several times a day,Several times a day,NA,NA
Nm-W102744,-95.964746,36.148731,1466203214,63,0,6,1,NA,1,1,Disagree,Never,Never,Several times a day,About once per week,Less than once per week,About once a day,Never,Never
Nm-W102745,-95.96341,36.14616,1468545965,32,1,2,3,2.40E+04,1,NA,Disagree,Never,Never,Less than once per week,Never,Less than once per week,About once a day,Less than once per week,Several times a day
Nm-W102791,-95.945123,36.089737,1466123052,74,1,6,1,14800,1,NA,NA,Never,Several times per week,Several times a day,Never,Several times a day,Never,Never,Less than once per week
Nm-W102821,-95.991862,36.189613,1465326182,29,0,4,2,3.50E+04,1,1,Strongly disagree,About once a day,Never,Never,Never,Never,Several times per week,Never,About once a day
Nm-W102844,-96.06777,36.11374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W103014,-95.984166,36.136122,1465787461,65,0,6,1,43680,1,1,Disagree,About once a day,About once per week,Never,Never,Never,Never,Never,Never
Nm-W103021,-95.969498,36.13888,1465482645,36,1,4,1,1.80E+05,1,NA,Somewhat agree,Several times per week,Several times per week,Never,Never,About once per week,About once per week,Never,Less than once per week
Nm-W103108,-95.85853,36.12207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W103350,-95.947151,36.033683,1465352131,32,0,6,1,3.50E+04,1,NA,Strongly disagree,About once per week,Never,About once a day,Never,Never,Less than once per week,About once per week,Several times a day
Nm-W103379,-95.875371,36.116349,1467575538,61,0,2,1,2.70E+04,1,NA,Strongly disagree,Never,Never,Several times a day,Several times a day,Never,Several times a day,Never,Several times a day
Nm-W103390,-95.897061,36.091991,1465790950,64,0,7,1,2.50E+04,1,NA,Disagree,About once a day,Never,Several times per week,Less than once per week,Never,About once a day,Less than once per week,Several times a day
Nm-W103464,-95.077915,36.801195,1467319927,83,0,2,1,1.30E+04,1,NA,Agree,Less than once per week,Never,Several times a day,Less than once per week,Less than once per week,Less than once per week,About once per week,Less than once per week
Nm-W103471,-95.326572,36.184773,1465901340,53,1,6,1,1.50E+05,1,1,Agree,Never,Several times a day,Several times a day,Never,Never,Never,Never,Several times a day
Nm-W103511,-94.778775,36.632963,1466253264,65,1,6,1,1.20E+05,1,0,Strongly agree,NA,About once a day,Several times a day,Several times a day,Less than once per week,Several times per week,Never,Several times per week
Nm-W103582,-95.306212,36.307338,1465855324,35,1,8,1,1.25E+05,1,NA,Agree,Several times per week,Never,About once a day,Never,Several times per week,Several times a day,Several times per week,About once per week
Nm-W103598,-94.80376,36.958108,1465444792,45,1,4,1,1.50E+04,2,NA,Strongly disagree,Never,Less than once per week,About once per week,Never,Less than once per week,About once per week,Less than once per week,Less than once per week
Nm-W103599,-94.788955,36.955673,1467903610,79,1,4,3,4.90E+04,2,2,Agree,Never,Never,About once a day,Several times per week,Several times per week,Several times per week,Never,Never
Nm-W103617,-94.627872,36.667893,1466430846,39,0,7,1,4.00E+04,1,NA,Agree,About once a day,Never,Less than once per week,Never,Less than once per week,Several times per week,Less than once per week,Never
Nm-W103645,-95.464338,35.775601,1467338113,76,0,4,1,4.00E+04,1,1,Agree,Several times a day,Never,Several times a day,Never,About once a day,Several times a day,Several times a day,Several times a day
Nm-W104200,-97.15208,34.18516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W104213,-97.211762,34.129207,1467779109,23,0,6,1,1.50E+04,2,1,Agree,Never,Never,Never,About once per week,Never,Never,About once per week,Several times per week
Nm-W104251,-97.129011,34.178901,1465661164,76,0,4,1,5.00E+04,2,1,Neither agree nor disagree,Less than once per week,Less than once per week,Several times a day,About once a day,Never,Less than once per week,Less than once per week,Less than once per week
Nm-W104293,-97.057557,34.174038,1465386494,66,1,6,1,7.50E+04,2,NA,Somewhat agree,Never,Less than once per week,About once a day,About once per week,Less than once per week,Never,Never,Less than once per week
Nm-W104427,-96.845818,34.092418,1466197128,50,0,6,3,2.00E+05,1,NA,Strongly agree,Several times per week,Less than once per week,Several times a day,Several times per week,About once a day,Several times per week,Several times a day,Several times per week
Nm-W104433,-96.674592,34.099874,1466027265,33,0,6,1,1.00E+05,1,0,Strongly disagree,Never,Never,Never,Several times a day,Never,Several times a day,Several times a day,Never
Nm-W104542,-97.50983,34.42507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W104613,-95.58257,35.286131,1465737522,68,0,6,1,31500,1,NA,Strongly agree,NA,NA,Several times per week,NA,Several times a day,NA,NA,Less than once per week
Nm-W104636,-95.58257,35.286131,1465491713,78,1,6,1,2.60E+04,1,0,Strongly disagree,Never,Never,Several times a day,Never,Never,NA,Never,Never
Nm-W104643,-95.58257,35.286131,1466190479,51,1,6,1,1.50E+05,1,1,Agree,Never,Never,Never,Never,Never,Several times per week,Never,Several times per week
Nm-W104671,-95.120975,35.253699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W104677,-95.061902,35.320801,1466112181,69,0,6,1,7.50E+04,1,1,Somewhat agree,About once per week,Never,Several times a day,Several times per week,Several times a day,About once a day,Several times a day,Less than once per week
Nm-W104713,-95.76829,34.95176,1467575448,49,1,5,1,6.60E+04,1,NA,Strongly disagree,About once a day,About once a day,Several times a day,About once a day,Never,About once a day,Never,About once a day
Nm-W104741,-95.775885,34.936007,1465328028,64,1,4,1,1.50E+04,1,0,Strongly disagree,Several times per week,Never,Several times per week,Never,Several times per week,Never,Never,Never
Nm-W104813,-95.737375,34.896951,1468008063,65,1,6,1,1.50E+05,1,1,Neither agree nor disagree,Never,Never,About once a day,Less than once per week,Never,Less than once per week,Never,About once a day
Nm-W104956,-95.32348,35.058269,1465954792,54,1,5,3,1.00E+05,1,NA,Strongly disagree,Less than once per week,Less than once per week,About once a day,Several times per week,Several times per week,Several times per week,Never,Never
Nm-W105065,-96.372864,34.02057,1465487004,44,0,7,1,5.00E+04,2,1,Strongly agree,Several times per week,Never,Several times per week,Never,Never,Several times per week,Several times a day,Less than once per week
Nm-W105114,-96.376882,33.996392,1465329641,53,1,8,1,1.55E+05,2,1,Strongly agree,Less than once per week,Less than once per week,Less than once per week,Never,Never,Less than once per week,Never,Less than once per week
Nm-W105236,-94.74753,34.04518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W105277,-96.521911,33.852967,1467852857,60,1,6,1,3.20E+04,2,1,Strongly agree,Never,Never,About once per week,About once per week,About once a day,Less than once per week,Never,NA
Nm-W105289,-95.26992,34.01471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W105364,-94.82956,33.8974,1468353737,56,1,4,1,NA,1,0,Agree,Several times a day,Less than once per week,Several times per week,NA,Less than once per week,NA,Never,Several times a day
Nm-W105399,-94.835495,34.039761,1465405274,65,0,6,1,NA,1,NA,Somewhat agree,Several times a day,Several times per week,Several times a day,Several times a day,Less than once per week,About once a day,Several times a day,Never
Nm-W105561,-96.688861,34.760864,1465545651,29,1,4,1,3.40E+04,1,0,Strongly agree,About once per week,Several times per week,About once per week,Several times per week,About once a day,Several times per week,Never,Several times a day
Nm-W105586,-96.451204,34.892635,1467325285,70,1,2,1,NA,1,NA,Disagree,Never,Never,Several times a day,About once a day,About once a day,Several times a day,Never,Never
Nm-W105715,-96.684345,35.222739,1465414948,82,1,2,1,1.40E+04,1,1,Strongly disagree,Less than once per week,Less than once per week,Several times a day,Never,Less than once per week,Less than once per week,Several times per week,Never
Nm-W105729,-96.573861,34.686012,1467816699,31,0,6,3,1.00E+05,2,1,Strongly disagree,Never,Never,Several times per week,About once per week,Several times a day,About once a day,Never,Less than once per week
Nm-W106004,-98.248839,35.058692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W106069,-98.36556,34.89779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W106354,-95.981816,36.075242,1467156102,27,0,4,1,3.00E+04,1,NA,Agree,Several times a day,About once per week,Several times a day,Never,About once a day,Several times a day,About once a day,About once per week
Nm-W106556,-98.43418,34.6373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W106597,-98.454405,34.630481,1465414012,56,1,4,1,4.10E+04,1,1,Agree,Less than once per week,Never,Never,Several times a day,Several times a day,Never,Several times a day,Several times a day
Nm-W106652,-98.464292,34.620003,1465333501,33,1,7,6,7.50E+04,1,1,Somewhat agree,About once a day,About once a day,About once a day,Never,Less than once per week,About once per week,Several times per week,Less than once per week
Nm-W106713,-98.456955,34.613695,1465405425,68,1,8,1,1.00E+05,1,NA,Agree,About once a day,Less than once per week,Several times a day,Several times per week,Less than once per week,Several times per week,Never,Several times a day
Nm-W106830,-98.5281,34.523888,1465325029,60,1,6,1,1.90E+05,0,NA,Strongly agree,Several times per week,Less than once per week,Several times a day,About once per week,About once a day,About once a day,About once per week,Less than once per week
Nm-W107190,-97.967239,34.36688,1465334162,78,1,6,1,1.00E+05,1,1,Strongly disagree,About once a day,Several times a day,Several times a day,Several times per week,Never,Never,Never,Several times a day
Nm-W107197,-97.961144,34.410956,1465405810,65,0,6,1,1.01E+05,1,1,NA,Several times per week,Several times per week,About once a day,About once per week,Never,Several times per week,Never,About once a day
Nm-W107209,-99.56797,34.66309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W107455,-98.182575,34.826425,1466973486,45,0,4,3,101620,1,1,Strongly agree,Several times per week,Several times per week,Several times per week,Never,Several times per week,Several times per week,Never,Several times per week
Nm-W107554,-99.501345,34.890041,1465414518,63,1,2,1,4.00E+04,1,0,Disagree,Never,Several times per week,About once a day,Never,Never,Never,Never,About once per week
Nm-W107720,-98.984838,35.50591,1467072286,87,0,2,1,2.00E+04,1,0,Disagree,Never,Never,Never,Several times a day,Never,Less than once per week,Never,Never
Nm-W107802,-99.91217,35.88346,1469291117,33,0,6,1,1.95E+05,1,NA,Agree,Less than once per week,Several times per week,Several times a day,Never,Less than once per week,NA,Several times a day,Several times a day
Nm-W107833,-99.399778,35.398841,1467765378,43,0,7,1,6.00E+04,1,NA,Strongly disagree,Never,Never,About once a day,Never,About once per week,Several times per week,Several times per week,Never
Nm-W108096,-97.551247,35.686208,1467902017,45,0,7,1,1.00E+05,2,NA,Agree,Less than once per week,Less than once per week,Several times per week,Less than once per week,Never,Several times per week,Several times per week,Never
Nm-W108107,-97.517802,35.666668,1467464776,66,1,3,1,7.00E+04,2,NA,Somewhat agree,Several times a day,Never,Never,Several times a day,Never,Several times per week,Never,Several times a day
Nm-W108410,-97.267985,35.33781,1466087653,54,1,7,1,1.05E+05,2,1,Somewhat agree,NA,Several times per week,About once a day,Never,About once per week,Less than once per week,Never,Less than once per week
Nm-W108424,-97.29284,35.461279,1465751379,62,1,7,1,7.50E+04,2,1,Agree,Several times per week,Less than once per week,Several times a day,Less than once per week,Never,Several times per week,About once per week,Several times per week
Nm-W108506,-97.628894,35.252722,1467383775,65,0,6,1,2.50E+04,1,NA,Strongly agree,Less than once per week,About once per week,Several times a day,Several times per week,Several times per week,About once a day,Several times a day,Less than once per week
Nm-W108666,-97.461811,35.232338,1466031891,34,0,6,1,4.70E+04,1,2,Disagree,Several times a day,About once per week,Less than once per week,Less than once per week,Less than once per week,Several times per week,Less than once per week,Less than once per week
Nm-W108692,-97.50523,35.225184,1465326438,48,0,7,1,5.50E+04,1,NA,Disagree,Less than once per week,About once per week,Several times a day,Less than once per week,Several times a day,Several times a day,Less than once per week,Never
Nm-W108696,-97.70837,35.650427,1465327866,48,1,8,1,NA,1,0,Disagree,Less than once per week,About once a day,About once a day,Less than once per week,About once a day,About once per week,About once a day,Never
Nm-W108891,-97.59666,35.498883,1466434491,33,0,6,1,69750,2,1,Neither agree nor disagree,Several times a day,Several times per week,Less than once per week,About once per week,About once per week,About once a day,About once per week,Less than once per week
Nm-W108911,-97.56654,35.48783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W109078,-97.572412,35.513658,1467353528,51,0,6,1,5.50E+04,2,NA,Agree,Several times a day,Several times a day,Never,About once per week,Never,Never,Several times a day,Several times a day
Nm-W109137,-97.443532,35.454398,1465355305,29,0,2,1,3.70E+04,2,NA,Agree,Never,Never,Several times a day,Never,Less than once per week,Less than once per week,About once per week,Less than once per week
Nm-W109217,-97.545869,35.42994,1465342538,62,0,7,1,2.50E+04,2,0,Agree,Never,About once a day,About once a day,NA,Never,Less than once per week,Never,About once a day
Nm-W109322,-97.615331,35.502753,1467388531,31,0,6,1,9.00E+04,2,NA,Strongly agree,Never,Never,Less than once per week,Less than once per week,Several times per week,About once a day,Several times per week,About once a day
Nm-W109488,-97.623991,35.526888,1466804589,37,1,5,1,5.10E+04,2,2,Disagree,About once a day,About once per week,About once per week,Never,Several times a day,Several times per week,Never,Less than once per week
Nm-W109506,-97.433321,35.414738,1466099245,57,0,6,2,7.50E+04,2,NA,Agree,Less than once per week,Less than once per week,Several times a day,Less than once per week,Several times a day,Several times per week,Never,Several times a day
Nm-W109574,-97.42696,35.164217,1468327337,49,0,2,1,6.00E+04,1,1,Neither agree nor disagree,Less than once per week,Never,Several times a day,Never,Several times per week,Less than once per week,Less than once per week,About once per week
Nm-W109633,-97.559252,35.368688,1467939658,36,0,2,1,2.60E+04,2,0,Somewhat agree,Never,Never,Several times per week,Less than once per week,About once per week,About once per week,About once a day,Never
Nm-W109657,-97.504042,35.336957,1466735889,70,1,2,1,1.20E+04,2,0,Disagree,Several times per week,Never,Several times a day,Never,Less than once per week,Less than once per week,Never,Never
Nm-W109706,-97.464371,35.346568,1465567101,51,1,4,1,1.01E+05,2,1,Agree,About once a day,Never,About once a day,Never,Several times a day,Never,About once per week,Several times per week
Nm-W109710,-97.461385,35.329814,1466909305,46,0,7,1,4.00E+04,2,1,Agree,About once a day,Several times per week,Less than once per week,Less than once per week,Less than once per week,Less than once per week,Less than once per week,Never
Nm-W109714,-97.472878,35.35844,1466090819,57,0,3,1,2.50E+04,2,NA,Strongly agree,About once a day,Never,Several times a day,Never,Several times a day,About once per week,Several times a day,Never
Nm-W109766,-97.539681,35.579254,1466487032,51,1,4,6,3.70E+04,2,NA,Strongly agree,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Never,About once a day,Several times a day
Nm-W109787,-97.560039,35.351958,1465344054,54,0,6,1,NA,2,NA,Strongly agree,Several times per week,Several times per week,About once a day,Less than once per week,About once a day,Several times per week,Never,About once a day
Nm-W109907,-96.892718,35.371832,1465410615,41,0,6,6,9.30E+04,1,NA,Strongly disagree,NA,Several times per week,Several times a day,Several times a day,Several times a day,Several times a day,Several times per week,Several times a day
Nm-W109934,-97.420581,35.381433,1466955241,61,0,2,3,1.00E+05,2,NA,Strongly agree,Never,Less than once per week,Several times a day,Less than once per week,About once per week,About once a day,About once per week,Less than once per week
Nm-W109939,-97.137709,35.416775,1467234000,71,1,8,1,5.00E+04,1,NA,Strongly disagree,About once per week,Never,Several times per week,Several times per week,Never,Never,Never,Never
Nm-W110008,-97.47878,35.68796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W110095,-98.248839,35.058692,1465619215,55,1,5,1,8.00E+04,1,1,Agree,Less than once per week,Less than once per week,Several times a day,Less than once per week,Several times a day,Less than once per week,Less than once per week,Several times a day
Nm-W110244,-97.629968,35.521521,1466291735,58,1,6,1,2.50E+04,2,NA,Strongly disagree,Less than once per week,Never,Several times a day,Less than once per week,Several times per week,About once per week,Never,Never
Nm-W110478,-97.510112,35.626968,1465607571,60,1,2,1,53500,2,1,Agree,Less than once per week,Never,Several times a day,Less than once per week,Never,Several times per week,Several times per week,Several times per week
Nm-W110781,-97.50716,35.71738,1467907612,34,1,8,1,9.50E+04,2,2,Somewhat agree,Less than once per week,Never,Less than once per week,Never,About once per week,About once per week,Never,Several times per week
Nm-W112023,-97.51334,35.656044,1465441560,29,0,6,1,9.60E+04,2,2,Somewhat disagree,Several times per week,Less than once per week,About once a day,Never,Less than once per week,Several times per week,Less than once per week,Less than once per week
Nm-W112080,-97.21413,34.73314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W112653,-97.037741,34.709498,1465495687,44,0,6,1,1.25E+05,2,NA,Neither agree nor disagree,Less than once per week,Less than once per week,About once a day,About once a day,Several times a day,Several times a day,Less than once per week,Never
Nm-W112710,-97.70944,35.50495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W112732,-97.720561,35.507223,1465485371,70,1,4,1,3.70E+04,1,NA,Strongly disagree,Several times a day,About once a day,Several times a day,Never,Never,Less than once per week,Never,About once a day
Nm-W113825,-97.613942,35.496478,1465695571,62,0,8,1,6.00E+04,2,1,Agree,Less than once per week,Never,About once a day,About once per week,Less than once per week,Less than once per week,Never,Several times per week
Nm-W114097,-97.632322,35.538583,1465401089,74,0,4,1,4.00E+04,2,1,Disagree,Never,Never,Several times a day,Several times a day,Never,Never,Never,Never
Nm-W114754,-97.516352,35.296564,1467333962,37,0,8,1,6.40E+04,2,1,Strongly disagree,Never,Several times a day,About once per week,Never,Never,About once per week,Several times a day,Less than once per week
Nm-W115827,-98.286302,34.594033,1466551549,49,1,2,1,7.50E+04,1,NA,Strongly disagree,Never,Never,Several times per week,Several times per week,Several times a day,Less than once per week,Never,Less than once per week
Nm-W115954,-98.457234,34.63545,1467140853,37,0,4,7,5.00E+04,1,NA,Agree,Less than once per week,Never,Several times per week,Several times per week,Less than once per week,Never,Less than once per week,Several times per week
Nm-W116437,-97.912337,36.414421,1466155150,54,1,4,1,6.00E+04,2,NA,Strongly disagree,Never,Never,Never,Never,Never,Never,Never,Never
Nm-W116990,-99.321943,34.639981,1465518803,61,1,6,1,7.20E+04,1,NA,Neither agree nor disagree,Never,Never,About once a day,Never,About once per week,Several times per week,About once per week,Less than once per week
Nm-W117020,-99.303332,34.645428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W117165,-99.26419,34.74225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W117369,-97.98099,34.51406,1467481741,64,1,6,1,5.00E+04,1,1,Agree,About once a day,Several times per week,Several times per week,Less than once per week,Less than once per week,Less than once per week,Never,About once per week
Nm-W117391,-97.97669,34.51302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W117453,-97.960639,34.536174,1465761068,63,1,7,1,2.01E+05,1,1,Strongly agree,Less than once per week,Never,About once a day,Several times per week,Never,Less than once per week,Never,Several times per week
Nm-W118061,-98.57952,34.676514,1465481542,48,0,6,1,8.00E+04,1,NA,Agree,Never,Never,Never,Never,Less than once per week,Several times a day,About once a day,About once a day
Nm-W118584,-99.371654,35.392806,1466548544,28,1,6,1,4.30E+04,1,NA,Strongly disagree,Less than once per week,Never,Never,Never,About once per week,Several times per week,Never,Less than once per week
Nm-W118650,-99.399778,35.398841,1465591022,45,0,5,1,9.50E+04,1,1,Agree,Less than once per week,Less than once per week,Several times per week,Less than once per week,Several times per week,Less than once per week,About once per week,About once per week
Nm-W119412,-97.89993,36.40007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W120284,-96.778541,33.89148,1465529110,52,1,3,1,1.00E+05,1,0,Strongly agree,Several times per week,Never,Several times per week,Less than once per week,Never,NA,About once per week,Several times per week
Nm-W121084,-95.93521,36.11342,1465333303,32,0,5,1,9.00E+04,1,NA,Agree,Several times a day,About once per week,Several times a day,Never,Several times a day,Several times a day,Several times a day,About once a day
Nm-W121571,-95.648195,36.308262,1466439286,58,1,4,1,1.10E+05,1,2,Strongly disagree,About once a day,Several times per week,NA,Several times a day,Several times per week,About once a day,Never,Several times a day
Nm-W122156,-96.320513,36.181097,1465327650,57,1,3,1,8.00E+04,2,2,Somewhat agree,Less than once per week,Less than once per week,Several times per week,Never,Several times per week,Several times per week,Less than once per week,Less than once per week
Nm-W122306,-95.866001,36.314373,1465585839,51,1,3,1,2.10E+05,1,1,Agree,Several times per week,Several times per week,About once per week,Never,Never,Never,Never,About once per week
Nm-W122374,-96.799283,36.339215,1465506262,61,0,3,3,10400,2,1,Strongly disagree,Never,Less than once per week,Several times a day,About once per week,Less than once per week,Never,About once per week,Less than once per week
Nm-W123169,-97.073597,36.154021,1465519642,60,1,7,1,1.50E+05,2,1,Agree,Less than once per week,Less than once per week,About once per week,Never,About once per week,Several times per week,About once per week,Several times per week
Nm-W123691,-95.949921,36.080255,1465327679,71,1,6,1,7.00E+04,0,NA,Strongly disagree,About once a day,About once a day,About once per week,About once per week,Never,Less than once per week,Never,Less than once per week
Nm-W124626,-95.906886,36.083141,1468018513,35,1,6,1,4.00E+04,1,1,Disagree,Less than once per week,Never,Several times a day,About once a day,Never,About once a day,About once a day,About once a day
Nm-W124806,-95.928455,36.003911,1467064862,71,1,7,1,1.10E+05,1,NA,Strongly disagree,About once a day,NA,About once a day,NA,Several times a day,Less than once per week,Never,Never
Nm-W124831,-95.88029,36.107823,1466008423,46,1,6,7,5.00E+04,1,NA,Disagree,Several times per week,Less than once per week,About once a day,Never,Several times a day,Several times per week,Never,Never
Nm-W125209,-94.87386,36.885393,1467769557,56,1,4,3,5.70E+04,2,1,Strongly agree,Never,Never,Several times a day,About once per week,Never,About once a day,About once per week,Several times per week
Nm-W125432,-95.30892,35.65527,1467165714,58,0,6,1,1.00E+05,1,NA,Strongly agree,Several times a day,Less than once per week,About once a day,Less than once per week,About once a day,Less than once per week,About once a day,Several times per week
